oid,test,train_fold1,val_fold1,train_fold2,val_fold2,train_fold3,val_fold3,train_fold4,val_fold4,train_fold5,val_fold5
ZTF18aamrgbq,1,0,0,0,0,0,0,0,0,0,0
ZTF18aamsmzm,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamuarr,0,1,0,0,1,1,0,1,0,1,0
ZTF18aamupuo,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamvanq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamwhib,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamwjan,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamxlmm,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamykhr,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamykyz,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamzcjo,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamzved,0,1,0,0,1,1,0,1,0,1,0
ZTF18aanabqp,0,1,0,1,0,1,0,1,0,0,1
ZTF18aancege,0,1,0,1,0,1,0,0,1,1,0
ZTF18aanhsbt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aanizbd,0,1,0,1,0,1,0,0,1,1,0
ZTF18aankjav,0,1,0,0,1,1,0,1,0,1,0
ZTF18aanlycz,1,0,0,0,0,0,0,0,0,0,0
ZTF18aanmaam,1,0,0,0,0,0,0,0,0,0,0
ZTF18aanmpvk,0,1,0,1,0,0,1,1,0,1,0
ZTF18aanmuwn,1,0,0,0,0,0,0,0,0,0,0
ZTF18aanskfx,0,1,0,1,0,0,1,1,0,1,0
ZTF18aanxlcr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aanyhfb,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaobcvl,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaodlik,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaogavr,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaotzun,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaoucqf,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaouksq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaouqmw,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaowtgn,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaoytaz,0,1,0,1,0,1,0,0,1,1,0
ZTF18aapatdu,0,1,0,0,1,1,0,1,0,1,0
ZTF18aapbhra,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaqcdjz,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqcdms,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaqcfzh,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqdwsw,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaqjqqc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqklis,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqkrxj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqktbt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaqkvco,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaqkyas,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaqljfc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqlndu,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaqpowv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaqrcml,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaquvvq,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaquwqi,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaqwboe,1,0,0,0,0,0,0,0,0,0,0
ZTF18aararjr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarbzgt,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarbzgy,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarcpem,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarcqdj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarfobn,0,1,0,1,0,1,0,1,0,0,1
ZTF18aariqrj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarkztv,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarlhfw,0,1,0,1,0,1,0,0,1,1,0
ZTF18aarlnzb,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarltsj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarmnnd,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarmttj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarnbhk,0,1,0,1,0,1,0,0,1,1,0
ZTF18aarndye,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarneoz,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarobdw,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarunfu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarusgg,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarvfan,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarvsqh,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarwjli,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarwmyr,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarzbkh,0,0,1,1,0,1,0,1,0,1,0
ZTF18aasaqao,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasauch,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaspvnw,0,1,0,1,0,1,0,0,1,1,0
ZTF18aasrovh,0,1,0,1,0,1,0,0,1,1,0
ZTF18aasvtqi,0,1,0,1,0,1,0,1,0,0,1
ZTF18aasvydn,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaswdzr,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaswqcv,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaswrap,0,0,1,1,0,1,0,1,0,1,0
ZTF18aasyldf,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasyoet,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasyrit,0,0,1,1,0,1,0,1,0,1,0
ZTF18aasywuv,0,0,1,1,0,1,0,1,0,1,0
ZTF18aasyxcd,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaszoxf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaszvbn,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatable,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatezfu,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatfxtd,0,1,0,1,0,1,0,1,0,0,1
ZTF18aathnkk,0,1,0,0,1,1,0,1,0,1,0
ZTF18aathose,0,1,0,0,1,1,0,1,0,1,0
ZTF18aathpjh,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatiffa,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatiudp,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatjwcm,0,1,0,1,0,1,0,1,0,0,1
ZTF18aatmoka,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatmvib,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatonqc,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatoohj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatpfus,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatpqxq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatquwd,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatrzec,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatwqed,1,0,0,0,0,0,0,0,0,0,0
ZTF18aauotcv,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaurykp,0,1,0,1,0,0,1,1,0,1,0
ZTF18aauuzmf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauxxea,0,1,0,1,0,1,0,0,1,1,0
ZTF18aauyafm,0,1,0,1,0,0,1,1,0,1,0
ZTF18aauyxxt,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauyyds,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauyyhe,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauyzxg,0,1,0,1,0,0,1,1,0,1,0
ZTF18aauzolk,0,0,1,1,0,1,0,1,0,1,0
ZTF18aavabkh,0,1,0,1,0,0,1,1,0,1,0
ZTF18aavaxdv,1,0,0,0,0,0,0,0,0,0,0
ZTF18aavpets,0,1,0,1,0,1,0,0,1,1,0
ZTF18aavuvqs,0,1,0,1,0,1,0,1,0,0,1
ZTF18aavvtyx,0,1,0,0,1,1,0,1,0,1,0
ZTF18aavwuxk,0,0,1,1,0,1,0,1,0,1,0
ZTF18aavxdrz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aavydnh,0,1,0,1,0,1,0,0,1,1,0
ZTF18aavygjv,0,1,0,1,0,1,0,1,0,0,1
ZTF18aavynfd,0,0,1,1,0,1,0,1,0,1,0
ZTF18aavyzyt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aavzawy,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawbhdn,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawdqbc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawehma,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawetwo,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawfcsu,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawfeyg,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawfezw,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawfqax,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawgiuu,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawglif,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawhgpt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawhrjb,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawjnky,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawkdyg,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawldxu,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawlfnj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawmeiw,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawnaje,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawnawj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawncdo,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawnnns,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawnvkm,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawnylr,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawokdx,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawourc,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawppyt,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawpzkf,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawqhda,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawqjjj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawqnqp,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawqxce,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawqzwc,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawrfci,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawrskb,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawrujb,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawseij,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawsmrt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawtklf,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawwjzq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawxjvh,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawxkcj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawxpzs,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawycyr,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawzdzt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawzens,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaxerrt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaxkdwo,1,0,0,0,0,0,0,0,0,0,0
ZTF18aayiast,0,1,0,1,0,1,0,1,0,0,1
ZTF18aayilun,0,1,0,0,1,1,0,1,0,1,0
ZTF18aayyngj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aazwplo,0,1,0,1,0,1,0,0,1,1,0
ZTF18abaulsu,1,0,0,0,0,0,0,0,0,0,0
ZTF18abawkok,0,1,0,1,0,1,0,0,1,1,0
ZTF18abbrksm,0,1,0,1,0,1,0,0,1,1,0
ZTF18abcgict,1,0,0,0,0,0,0,0,0,0,0
ZTF18abdnqzy,0,1,0,0,1,1,0,1,0,1,0
ZTF18abesxbk,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfapgm,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfapzy,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfaqpu,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfaulo,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfawvl,0,1,0,0,1,1,0,1,0,1,0
ZTF18abfbbyh,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfblpv,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfbltl,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfbtgk,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfbuog,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfbwke,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfcepu,0,1,0,1,0,1,0,1,0,0,1
ZTF18abfchzq,0,1,0,1,0,1,0,1,0,0,1
ZTF18abfdclf,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfdgtz,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfdguq,0,1,0,1,0,1,0,1,0,0,1
ZTF18abfdkes,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfdrin,0,1,0,0,1,1,0,1,0,1,0
ZTF18abfduqh,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfdvkj,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfdysn,0,1,0,1,0,1,0,1,0,0,1
ZTF18abffetb,0,1,0,1,0,1,0,1,0,0,1
ZTF18abgxkzx,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhbcea,0,1,0,0,1,1,0,1,0,1,0
ZTF18abhbgtf,0,1,0,1,0,1,0,1,0,0,1
ZTF18abhbjet,0,1,0,1,0,0,1,1,0,1,0
ZTF18abhbjfd,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhbjfi,0,1,0,1,0,1,0,1,0,0,1
ZTF18abhbjfw,0,1,0,1,0,1,0,1,0,0,1
ZTF18abhgths,0,1,0,1,0,0,1,1,0,1,0
ZTF18abhgvcy,0,1,0,0,1,1,0,1,0,1,0
ZTF18abhgvss,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhgxja,0,0,1,1,0,1,0,1,0,1,0
ZTF18abhhfvv,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhwmpa,0,1,0,1,0,1,0,1,0,0,1
ZTF18abihhyj,0,1,0,1,0,1,0,0,1,1,0
ZTF18abjilot,0,1,0,1,0,0,1,1,0,1,0
ZTF18abjinfz,0,1,0,1,0,0,1,1,0,1,0
ZTF18abjjgwy,0,1,0,1,0,0,1,1,0,1,0
ZTF18abjjops,0,1,0,1,0,1,0,0,1,1,0
ZTF18abjjpnj,0,1,0,1,0,0,1,1,0,1,0
ZTF18abjjpnn,0,1,0,1,0,1,0,1,0,0,1
ZTF18abjjppb,0,0,1,1,0,1,0,1,0,1,0
ZTF18abjjpqi,0,1,0,1,0,1,0,1,0,0,1
ZTF18abjkakt,0,1,0,1,0,1,0,1,0,0,1
ZTF18abjzpxo,0,0,1,1,0,1,0,1,0,1,0
ZTF18abkmyiw,0,1,0,1,0,0,1,1,0,1,0
ZTF18abobqat,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqbxrn,0,0,1,1,0,1,0,1,0,1,0
ZTF18abqjmgb,0,0,1,1,0,1,0,1,0,1,0
ZTF18abqjyxy,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqkbkc,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqkbnb,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqkbof,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqkfsf,0,0,1,1,0,1,0,1,0,1,0
ZTF18abqklam,0,0,1,1,0,1,0,1,0,1,0
ZTF18abqklca,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqlwgk,1,0,0,0,0,0,0,0,0,0,0
ZTF18abqmcdk,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqnfcd,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqpmjw,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqptpf,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqqzxj,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqrarw,0,1,0,1,0,1,0,0,1,1,0
ZTF18abqrhgx,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqsqzc,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqtnbk,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqvwgc,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqwter,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqyluf,0,1,0,1,0,0,1,1,0,1,0
ZTF18abratmn,0,1,0,1,0,1,0,1,0,0,1
ZTF18abrzypn,0,1,0,0,1,1,0,1,0,1,0
ZTF18absxmlr,1,0,0,0,0,0,0,0,0,0,0
ZTF18abszmpl,0,0,1,1,0,1,0,1,0,1,0
ZTF18abtthss,0,0,1,1,0,1,0,1,0,1,0
ZTF18abttwvn,0,1,0,0,1,1,0,1,0,1,0
ZTF18abufuhg,0,1,0,1,0,1,0,0,1,1,0
ZTF18abuxvmf,0,1,0,1,0,1,0,0,1,1,0
ZTF18abvudab,0,1,0,1,0,1,0,0,1,1,0
ZTF18abvzrro,0,0,1,1,0,1,0,1,0,1,0
ZTF18abxnvoz,0,1,0,0,1,1,0,1,0,1,0
ZTF18abyfsqz,0,1,0,0,1,1,0,1,0,1,0
ZTF18abzqsxk,0,1,0,1,0,1,0,1,0,0,1
ZTF18abzqsxy,0,1,0,1,0,1,0,0,1,1,0
ZTF18acacslr,0,1,0,1,0,0,1,1,0,1,0
ZTF18acaijpx,1,0,0,0,0,0,0,0,0,0,0
ZTF18acbzobz,1,0,0,0,0,0,0,0,0,0,0
ZTF18accamkt,0,1,0,1,0,1,0,1,0,0,1
ZTF18accdrak,0,1,0,1,0,1,0,1,0,0,1
